Id2,Geography,IBP_Men,IBP_Children,IBP_Women,IAP_Men,IAP_Children,IAP_Women,Percent_IBP_Men,Percent_IAP_Men,Percent_IBP_Women,Percent_IAP_Women,Percent_IBP_Children,Percent_IAP_Children,Total_Population,Male,Female,Women,Men,Boys,Girls,Children,Percent_Female,Percent_Male,Percent_Women,Percent_Men,Percent_Boys,Percent_Girls,Total_Pop_Education,Male_Pop_Education,Male_Less_than_high_school_diploma,Male_High_school_graduate_(includes_equivalency),Male_Some_college_or_associates_degree,Male_Bachelors_degree_or_higher,Female_Pop_Education,Female_Less_than_high_school_diploma,Female_High_school_graduate_(includes_equivalency),Female_Some_college_or_associates_degree,Female_Bachelors_degree_or_higher,P_Male_Less_than_high_school_diploma,P_Male_High_school_graduate_(includes_equivalency),P_Male_Some_college_or_associates_degree,P_Male_Bachelors_degree_or_higher,P_Female_Less_than_high_school_diploma,P_Female_High_school_graduate_(includes_equivalency),P_Female_Some_college_or_associates_degree,P_Female_Bachelors_degree_or_higher,P_NoHealthInsurance,P_18to64_NoHealthInsurance,Total_Median_Earnings,Male_Median_Earnings,Male_FT_Median_Earnings,Male_Other_Median_Earnings,Female_Median_Earnings,Female_FT_Median_Earnings,Female_Other_Median_Earnings,Female_Unemployment_Rate,Male_Unemployment_Rate
28001,"Adams County, Mississippi",1255,2964,2460,3942,1525,4455,0.2414854723879161,0.7585145276120839,0.3557483731019523,0.6442516268980477,0.6602806861216306,0.33971931387836934,17056,7818,9238,7011,5533,2285,1620,3905,0.5416275797373359,0.45837242026266417,0.5589126275510204,0.4410873724489796,0.5851472471190781,0.4148527528809219,10856,4750,1272,1959,1020,499,6106,1180,1776,1935,1215,0.2677894736842105,0.41242105263157897,0.21473684210526317,0.10505263157894737,0.19325253848673435,0.2908614477563053,0.31690140845070425,0.19898460530625614,0.1690734055354994,0.2539330375151271,19959,20329.0,27300.0,9059.0,19675.0,26994.0,9168.0,0.13046979865771813,0.16727140783744557
28003,"Alcorn County, Mississippi",444,345,556,979,548,1155,0.3120168657765285,0.6879831342234716,0.3249561659848042,0.6750438340151957,0.38633818589025753,0.6136618141097424,4310,2147,2163,1739,1555,592,474,1066,0.5018561484918793,0.4981438515081206,0.5279295689131754,0.4720704310868245,0.5553470919324578,0.4446529080675422,2723,1218,346,477,347,48,1505,276,555,418,256,0.28407224958949095,0.3916256157635468,0.2848932676518883,0.03940886699507389,0.1833887043189369,0.3687707641196013,0.2777408637873754,0.1700996677740864,0.22464822901504125,0.33783290769792046,16943,20774.0,35640.0,10460.0,15075.0,25487.0,10308.0,0.08930008045052293,0.24037339556592766
28005,"Amite County, Mississippi",602,597,906,1262,698,1219,0.3229613733905579,0.677038626609442,0.4263529411764706,0.5736470588235294,0.461003861003861,0.538996138996139,5332,2547,2785,2138,1899,648,445,1093,0.52231807951988,0.47768192048012004,0.5296011890017339,0.470398810998266,0.5928636779505947,0.4071363220494053,3792,1761,506,784,313,158,2031,642,610,513,266,0.2873367404883589,0.4452015900056786,0.17773992049971607,0.08972174900624645,0.31610044313146235,0.3003446578040374,0.25258493353028066,0.1309699655342196,0.12187736563209689,0.19740177439797213,16171,30947.0,32621.0,3634.0,14018.0,17283.0,7021.0,0.14359504132231404,0.13988657844990549
28007,"Attala County, Mississippi",766,1159,1329,1694,1209,1925,0.31138211382113823,0.6886178861788618,0.408420405654579,0.5915795943454211,0.48944256756756754,0.5105574324324325,8169,3620,4549,3271,2522,1098,862,1960,0.5568613049332843,0.44313869506671566,0.5646469877438287,0.43535301225617123,0.560204081632653,0.43979591836734694,4944,2049,869,664,416,100,2895,944,680,978,293,0.42410932162030257,0.32406051732552466,0.20302586627623231,0.04880429477794046,0.3260794473229706,0.23488773747841105,0.3378238341968912,0.10120898100172712,0.16386346772198862,0.2643209611671315,16520,19786.0,29375.0,7235.0,13482.0,24286.0,7805.0,0.21096051856216852,0.1464215364412344
28009,"Benton County, Mississippi",436,248,318,666,572,824,0.3956442831215971,0.604355716878403,0.27845884413309985,0.7215411558669002,0.3024390243902439,0.697560975609756,3098,1561,1537,1156,1122,439,266,705,0.4961265332472563,0.5038734667527437,0.5074626865671642,0.4925373134328358,0.6226950354609929,0.3773049645390071,2017,889,299,343,156,91,1128,201,435,364,128,0.3363329583802025,0.3858267716535433,0.17547806524184478,0.10236220472440945,0.17819148936170212,0.38563829787234044,0.32269503546099293,0.11347517730496454,0.23302872062663185,0.28623757195185767,25094,26375.0,40177.0,8761.0,21304.0,24958.0,12338.0,0.08214285714285714,0.17829457364341086
28011,"Bolivar County, Mississippi",2267,3682,3735,4083,2378,4644,0.357007874015748,0.6429921259842519,0.44575725026852847,0.5542427497314716,0.6075907590759075,0.3924092409240924,21634,9834,11800,8716,6803,3031,2593,5624,0.5454377368956272,0.45456226310437275,0.5616341259101746,0.43836587408982536,0.5389402560455192,0.4610597439544808,13008,5613,1988,1622,1490,513,7395,2034,1859,2332,1170,0.3541778015321575,0.28897202921788706,0.26545519330126494,0.09139497594869055,0.2750507099391481,0.25138607167004734,0.31534820824881676,0.15821501014198783,0.19079288712796566,0.28751458576429406,18652,20648.0,27113.0,8008.0,17227.0,24818.0,6875.0,0.2043956043956044,0.2381082558775287
28013,"Calhoun County, Mississippi",298,559,605,980,440,1058,0.23317683881064163,0.7668231611893583,0.3638003607937462,0.6361996392062538,0.5595595595595596,0.44044044044044045,4006,1766,2240,1679,1309,457,542,999,0.5591612581128308,0.44083874188716926,0.5619143239625167,0.4380856760374833,0.4574574574574575,0.5425425425425425,2557,1105,368,475,211,51,1452,399,491,475,87,0.3330316742081448,0.4298642533936652,0.19095022624434388,0.046153846153846156,0.27479338842975204,0.3381542699724518,0.3271349862258953,0.05991735537190083,0.12085967130214918,0.1776975531488167,17901,17885.0,27466.0,9547.0,17904.0,23556.0,6990.0,0.14331210191082802,0.16666666666666666
28015,"Carroll County, Mississippi",289,410,477,924,412,808,0.2382522671063479,0.761747732893652,0.37120622568093387,0.6287937743190661,0.49878345498783455,0.5012165450121655,3444,1716,1728,1300,1299,417,428,845,0.5017421602787456,0.49825783972125437,0.5001923816852636,0.4998076183147364,0.493491124260355,0.506508875739645,2148,1062,452,489,101,20,1086,236,447,244,159,0.4256120527306968,0.4604519774011299,0.0951035781544256,0.018832391713747645,0.21731123388581952,0.4116022099447514,0.22467771639042358,0.1464088397790055,0.15479041916167666,0.2435334309419229,16456,30643.0,,5116.0,14375.0,17242.0,7940.0,0.1601615074024226,0.11165048543689321
28017,"Chickasaw County, Mississippi",589,1223,982,1725,901,1924,0.2545375972342264,0.7454624027657736,0.3379215416379904,0.6620784583620096,0.5758003766478342,0.4241996233521657,7533,3513,4020,2940,2436,1077,901,1978,0.5336519315013939,0.4663480684986061,0.546875,0.453125,0.5444893832153691,0.45551061678463095,4531,1999,693,825,408,73,2532,694,900,729,209,0.34667333666833416,0.41270635317658827,0.20410205102551277,0.03651825912956478,0.2740916271721959,0.35545023696682465,0.28791469194312796,0.0825434439178515,0.16390997830802603,0.25128319571524216,19898,22230.0,27722.0,14779.0,17594.0,25614.0,6189.0,0.16656822209096278,0.21160911094783247
28019,"Choctaw County, Mississippi",313,421,453,529,220,595,0.37173396674584325,0.6282660332541568,0.43225190839694655,0.5677480916030534,0.656786271450858,0.34321372854914195,2613,1252,1361,1057,872,380,302,682,0.5208572522005358,0.4791427477994642,0.5479523068947642,0.45204769310523585,0.5571847507331378,0.44281524926686217,1624,751,229,346,159,17,873,212,255,362,44,0.30492676431424764,0.4607190412782956,0.21171770972037285,0.022636484687083888,0.24284077892325315,0.2920962199312715,0.4146620847651776,0.050400916380297825,0.11483067341377969,0.17567567567567569,16097,25169.0,26462.0,,13725.0,21250.0,,0.21308016877637131,0.206266318537859
